"RFID","BARCODE","NAME","QTY ON HAND","BUY PRICE","SELL PRICE","CATEGORY","BARCODE TYPE","BATCH NUMBER"
"1A4000312687484000030381","10003307","LOVE'S RED VELVET COOKIES 10P",7,10,25,"CANNIBIS","USER","NA"
"1A4000312687484000025627","10003309","LOVE'S TURTLE BROWNIES",28,10,25,"CANNIBIS","USER","NA"
"1a4000312687484000025629","10003311","LOVE'S SMORES BROWNIES MULTI",39,10,25,"CANNIBIS","USER","NA"
"1A4000312687518000001712","10003313","7 SACRED HYBRID TRUFFLES",9,10,25,"CANNIBIS","USER","NA"
"1A4000312687518000001710","10003315","7 SACRED SATIVA TRUFFLES",25,10,25,"CANNIBIS","USER","NA"
"1A40003126874B6000027531","10003317","MARY'S MEDICINAL MUSCLE FREEZE",3,12,20,"CANNIBIS","USER","NA"
"1A4000312687522000003458","10003319","WONDERLEAF 500MG COOKIE WRECK",0,25,75,"CANNIBIS","USER","NA"
"1A4000312687522000003257","10003321","WONDERLEAF 1G SYRINGE BERKEL",1,18,50,"CANNIBIS","USER","NA"
"1A4000312687522000003449","10003323","WONDERLEAF WAX CHEMDAWG 1G",0,23,60,"CANNIBIS","USER","NA"
"1A4000312687522000003466","10003325","WONDERLEAF 500MG GIESEL",0,25,75,"CANNIBIS","USER","NA"
"1A4000312687522000003456","10003327","WONDERLEAF 500MG FLURRY",0,25,75,"CANNIBIS","USER","NA"
"1A4000312687522000003460","10003329","WONDERLEAF 500MG PIPE DREAM",1,25,75,"CANNIBIS","USER","NA"
"1A4000312687522000003438","10003331","WONDERLEAF WAX SKUNKBERRY 1G",1,23,60,"CANNIBIS","USER","NA"
"1A4000312687522000003510","10003333","WONDERLEAF 1G SYRINGE GHOST DR",0,18,50,"CANNIBIS","USER","NA"
"1A4000312687522000003261","10003335","WONDERLEAF 1G SYRINGE PINE EXP",0,0.01,50,"CANNIBIS","USER","NA"
"1a4000312687522000003259","10003337","WONDERLEAF 1G SYRINGE FLURRY",0,9,50,"CANNIBIS","USER","NA"
"1A4000312687522000003455","10003339","WONDERLEAF 250MG FLURRY",0,15,45,"CANNIBIS","USER","NA"
"1A4000312687522000003465","10003341","WONDERLEAF 250MG GIESEL",0,15,45,"CANNIBIS","USER","NA"
"1A4000312687522000003459","10003343","WONDERLEAF 250MG PIPE DREAM",0,15,45,"CANNIBIS","USER","NA"
"1A4000312687522000003457","10003345","WONDERLEAF 250MG COOKIE WRECK",0,15,45,"CANNIBIS","USER","NA"
"1A400031266ee6B000002394","10003347","DEATHSTAR 7G",0,25,75,"CANNIBIS","USER","2394"
"1A400031266EE6B000002394","10003349","DEATHSTAR 3.5G",-1,12.5,40,"CANNIBIS","USER","2394"
"1a400031266Ee6B000002394","10003351","DEATHSTAR 1G",0,3.57,12,"CANNIBIS","USER","2394"
"1A400031266F025000004555","10003353","LA CHOCOLATE 7G",0,25,75,"CANNIBIS","USER","4555"
"1A400031266F025000004555","10003355","LA CHOCOLATE 3.5G",-1,12.5,40,"CANNIBIS","USER","4555"
"1A400031266f025000004555","10003357","LA CHOCOLATE 1G",-6,3.57,12,"CANNIBIS","USER","4555"
"1a400031266F025000004556","10003359","LA CHOCOLATE 7G",0,25,75,"CANNIBIS","USER","4556"
"1a400031266F025000004556","10003361","LA CHOCOLATE 3.5G",-1,12.5,40,"CANNIBIS","USER","4556"
"1A400031266F025000004556","10003363","LA CHOCOLATE 1G",-6,3.57,12,"CANNIBIS","USER","4556"
"1A400031266ee6b000002395","10003365","GRAPE STOMPER 7G",0,25,110,"CANNIBIS","USER","2395"
"1a400031266eE6b000002395","10003367","GRAPE STOMPER 3.5G",14,12.5,60,"CANNIBIS","USER","2395"
"1A400031266EE6B000002395","10003369","GRAPE STOMPER 1G",27,3.57,20,"CANNIBIS","USER","2395"
"1a40003126874e4000008241","10003385","PLATINUM ROLLS-HYBRID",25,12,25,"CANNIBIS","USER","08241"
"1A40003126874e4000007997","10003391","PLATINUM ROLLS-HYBRID",25,12,25,"CANNIBIS","USER","7997"
"1A40003126874E4000007994","10003393","PLATINUM ROLLS-INDICA",18,12,25,"CANNIBIS","USER","7994"
"1A40003126874e4000007996","10003395","PLATINUM ROLLS-SATIVA",18,12,25,"CANNIBIS","USER","7996"
"1A40003126874E4000007995","10003397","PLATINUM ROLLS-SATIVA",18,12,25,"CANNIBIS","USER","7995"
"1A400031266ee7E000004837","10003400","PRE-ROLL SPECIAL OPS-- FLOWER",6,3,10,"CANNIBIS","USER","4837"
"1A400031266eE7e000004720","10003402","PRE-ROLL GALAXY-- FLOWER",0,3,10,"CANNIBIS","USER","4720"
"1A400031266F025000004559","10003404","TANGERINE KUSH 7G",2,25,110,"CANNIBIS","USER","4559"
"1a400031266f025000004559","10003406","TANGERINE KUSH 3.5G",1,12.5,60,"CANNIBIS","USER","4559"
"1a400031266f025000004559","10003408","TANGERINE KUSH 1G",-1,3.57,12,"CANNIBIS","USER","4559"
"1A4000312687524000000156","10003410","SAMPLES EACH",3,0.01,0.01,"CANNIBIS","USER","NA"
"1A40003126874A5000013094","10003412","CBD CHILL PILLS",126,7.5,20,"CANNIBIS","USER","NA"
"1A40003126874A5000013093","10003414","G.K. HONEY LEMON CHILL PILLS",51,7.5,20,"CANNIBIS","USER","NA"
"1A400031266F025000004557","10003416","LOST TRIBE 3.5G",4,12.5,60,"CANNIBIS","USER","tribe000"
"1A400031266F069000000199","10003420","SAMPLES WEIGHTED",41.95,0.1,0.01,"CANNIBIS","USER","NA"
"1A400031266F069000000196","10003422","SAMPLES WEIGHTED",41.95,0.1,0.01,"CANNIBIS","USER","NA"
"1A400031266F069000000194","10003424","SAMPLES WEIGHTED",41.95,0.1,0.01,"CANNIBIS","USER","NA"
"1A40003126874Ef000004793","10003426","SWEET 1G SYRINGE INDICA",0,22,60,"CANNIBIS","USER","NA"
"1A40003126874EF000004792","10003428","SWEET DISPOSABLE SATIVA",8,17,40,"CANNIBIS","USER","NA"
"1A40003126874EF000004791","10003430","SWEET DISPOSABLE HYBRID",14,17,40,"CANNIBIS","USER","NA"
"1A40003126874EF000004790","10003432","SWEET 1G CARTRIDGE SATIVA",10,37,100,"CANNIBIS","USER","NA"
"1A40003126874EF000004787","10003434","SWEET 300MG CARTRIDGE SATIVA",15,17,45,"CANNIBIS","USER","NA"
"1A40003126874Ef000004786","10003436","SWEET 300MG CARTRIDGE INDICA",14,17,45,"CANNIBIS","USER","NA"
"1A40003126874eF000004789","10003438","SWEET 1G CARTRIDGE INDICA",22,37,100,"CANNIBIS","USER","NA"
"1A40003126874EF000004788","10003440","SWEET 500MG CARTRIDGE SATIVA",9,25,75,"CANNIBIS","USER","NA"
"1A40003126874eF000004785","10003442","SWEET 300MG CARTRIDGE HYBRID",13,17,45,"CANNIBIS","USER","NA"
"1A400031266ee69000002231","10003444","PRE-ROLL TRIM WHITE NINJA",3,1.36,6,"CANNIBIS","USER","002231"
"1A4000312687492000019063","10003446","EDIPURE WAUI STICK SATIVA",31,5.63,30,"CANNIBIS","USER","NA"
"1A4000312687492000019064","10003448","EDIPURE WAUI STICK INDICA",29,12,30,"CANNIBIS","USER","NA"
"1A4000312687492000019062","10003450","EDIPURE WAUI STICK HYBRID",28,12,30,"CANNIBIS","USER","NA"
"1A40003126874ab000004961","10003452","ESSENTIAL WAX LA CHEESE 1G",1,3.13,60,"CANNIBIS","USER","NA"
"1A40003126874aB000004964","10003454","ESSENTIAL SHATTER FLO OG",0,25,60,"CANNIBIS","USER","NA"
"1A40003126874AB000004962","10003456","ESSENTIAL WAX GHOST TRAIN HAZE",-1,25,60,"CANNIBIS","USER","NA"
"1a40003126874aB000004965","10003458","ESSENTIAL SHATTER STARKILLER",0,25,60,"CANNIBIS","USER","NA"
"1A400031268748f000011449","10003460","TR CONCENTRATES CHEM D LIVE SU",0,23,60,"CANNIBIS","USER","NA"
"1A400031268748F000011443","10003462","TR CONCENTRATES WHITE X CHEM",0,13,40,"CANNIBIS","USER","NA"
"1A400031268748f000011442","10003464","TR CONCENTRATES BLUE GOAT",0,14,40,"CANNIBIS","USER","NA"
"1A400031268748F000011454","10003466","TR CONCENTRATES STRAW. NIGHTMA",0,1,40,"CANNIBIS","USER","NA"
"1A400031268748f000011408","10003468","TR CONCENTRATES GHOST TRAIN HA",0,14,40,"CANNIBIS","USER","NA"
"1A400031268748F000011452","10003470","TR LIVE SUGAR DANKY KONG",0,23,60,"CANNIBIS","USER","NA"
"1A400031268748f000011455","10003472","TR CONCENTRATES PEPE LE BLEU",0,14,40,"CANNIBIS","USER","NA"
