"RFID","BARCODE","NAME","QTY ON HAND","BUY PRICE","SELL PRICE","CATEGORY","SUBCAT_COD","BARCODE TYPE","BATCH NUMBER"
"1A400031268748A000029606","10000173","DIXIE DEW DROP VANILLA",0,10,20,"CANNIBIS","","USER","R23494"
"1A400031268748A000029609","10000174","DIXIE SYNERGY NATURAL",0,12.5,45,"CANNIBIS","EDIBLES","USER","R12723"
"1A40003126874B3000028380","10000175","MAGIC BUZZ SNOOZIN'",1,3.5,8,"CANNIBIS","EDIBLES","USER","R1501"
"1A40003126874B3000028380","10000176","MAGIC BUZZ BUZZIN'",-2,3.5,8,"CANNIBIS","EDIBLES","USER","R1501"
"1A4000312687492000006602","10000179","EDIPURE CBD LEMON DROPS",0,15,35,"CANNIBIS","EDIBLES","USER","6294"
"1A4000312687492000006602","10000186","EDIPURE CBD LEMON DROPS",0,15,35,"CANNIBIS","EDIBLES","USER","6294"
"1A400031268748A000027737","10000187","DIXIE CRISPY KRAKEN",0,9,24,"CANNIBIS","EDIBLES","USER","R20269"
"1A400031268748A000033988","10000189","DIXIE TOASTED ROOSTER",0,9,24,"CANNIBIS","EDIBLES","USER","R19799"
"1A400031268748F000005353","10000190","TR CONCENTRATES STAR TRIANGLE",0,14,40,"CANNIBIS","CONC","USER","042816F"
"1A4000312687484000012556","10000191","LOVE'S 10MG GINGER SNAP COOKIE",0,2.5,6,"CANNIBIS","EDIBLES","USER","RH0134"
"1A400031268748F000005355","10000192","TR CONCENTRATES GORILLA GLUE",16,13,40,"CANNIBIS","CONC","USER","042616E"
"1A400031268748F000005359","10000193","TR CONCENTRATES SOUR STAR",0,14,40,"CANNIBIS","CONC","USER","052516C"
"1A4000312687484000012555","10000194","LOVE'S 10MG RED VELVET COOKIE",9,2.5,6,"CANNIBIS","EDIBLES","USER","RH0202A9133"
"1A400031268748F000005354","10000195","TR CONCENTRATES BUBBA GHOST",0,14,40,"CANNIBIS","CONC","USER","041916K"
"1A4000312687484000007973","10000196","LOVE'S CBD COOKIES MULTI PACK",0,18,30,"CANNIBIS","EDIBLES","USER","RCH0001"
"1A4000312687484000012554","10000197","LOVE'S 10MG CHOCOLATE CHIP",3,2.5,6,"CANNIBIS","EDIBLES","USER","RH01897691"
"1A4000312687484000009914","10000198","LOVE'S SINGLE THC/CBD COOKIE",10,11.5,10,"CANNIBIS","EDIBLES","USER","RCH0008"
"1A4000312687484000009915","10000199","LOVE'S SINGLE THC/CBD COOKIE",10,11.5,10,"CANNIBIS","EDIBLES","USER","RCH0008"
"1A4000312687484000012556","10000200","LOVE'S 10MG GINGER SNAP COOKIE",0,2.5,6,"CANNIBIS","EDIBLES","USER","RH0134E4863"
"1A4000312687484000012555","10000201","LOVE'S 10MG RED VELVET COOKIE",9,2.5,6,"CANNIBIS","EDIBLES","USER","RH02029133"
"1A40003126874B3000021511","10000202","MAGIC BUZZ BUZZIN'",-2,3.5,8,"CANNIBIS","EDIBLES","USER","1118R0123"
"1A40003126874B3000016665","10000203","MAGIC BUZZ SNOOZIN'",1,3.5,8,"CANNIBIS","EDIBLES","USER","060506"
"1A4000312687484000012549","10000204","LOVE'S CHOCOLATE CHIP COOKIES",9,10,25,"CANNIBIS","EDIBLES","USER","RH0216C10999"
"1A40003126874B3000028380","10000205","MAGIC BUZZ CHILLIN'",0,3.5,8,"CANNIBIS","EDIBLES","USER","050120"
"1A4000312687484000012548","10000206","LOVE'S SMORES BROWNIES MULTI",19,10,25,"CANNIBIS","EDIBLES","USER","RH020989311"
"1A40003126874F7000006376","10000207","FANCY PEN SET HYBRID",12,30,60,"CANNIBIS","CONC","USER","R1574"
"1A4000312687484000012551","10000208","LOVE'S JUJU ROYAL LEMON",0,11.5,25,"CANNIBIS","EDIBLES","USER","R1014419892"
"1A4000312687484000012558","10000210","LOVE'S BAKLAVA COOKIE BITES",9,10,25,"CANNIBIS","EDIBLES","USER","RH0217A11658"
"1A40003126874F7000006353","10000211","FANCY PEN SET INDICA",20,0.01,60,"CANNIBIS","CONC","USER","R4459"
"1A40003126874A0000002619","10000227","VENOM LIVE RESIN 1G KUSHAGE",0,0.01,40,"CANNIBIS","CONC","USER","VC002157"
"1A4000312687498000003325","10000236","NEOS DISPOSABLE SATIVA",0,0.01,40,"CANNIBIS","CONC","USER","GR2PO4370415"
"1A400031266EFE9000000668","10000250","MAUI WAUI 1G",0,3.35,20,"CANNIBIS","FLOWER","USER","0668"
"1A400031266EFE9000000668","10000251","MAUI WAUI 7G",0,23.44,110,"CANNIBIS","FLOWER","USER","0688"
"1A400031266EFE9000000668","10000252","MAUI WAUI 3.5G",0,11.72,60,"CANNIBIS","FLOWER","USER","0668"
"1A40003126874B6000014727","10000255","MARY'S CBD/THC PATCH",17,5,12,"CANNIBIS","TOPICALS","USER","6166685"
"1A40003126874B6000014728","10000256","MARY'S CBC COMPOUND",25,25,55,"CANNIBIS","TOPICALS","USER","6164444"
"1A40003126874B6000014729","10000257","MARY'S CBD REMEDY OIL",0,75,170,"CANNIBIS","TINCTURES","USER","1031"
"1A40003126874B6000014732","10000259","SAMPLES EACH",3,0.01,0.01,"CANNIBIS","","USER","6164431"
"1A40003126874B6000014731","10000260","SAMPLES WEIGHTED",40.95,0.01,0.01,"CANNIBIS","","USER","14730"
"1A40003126874B6000014730","10000261","SAMPLES WEIGHTED",40.95,0.01,0.01,"CANNIBIS","","USER","14730"
"1A40003126874AF000008447","10000262","CHEEBA SINGLE INDICA",-1,3,7,"CANNIBIS","EDIBLES","USER","0010"
"1A40003126874AF000008368","10000264","CHEEBA SINGLE SATIVA",-9,3,7,"CANNIBIS","EDIBLES","USER","0012"
"1A40003126874AF000008366","10000265","CHEEBA CHEW HYBRID MULTI PACK",44,10,25,"CANNIBIS","EDIBLES","USER","0065"
"1A40003126874AF000008367","10000266","CHEEBA CHEW INDICA MULTI PACK",35,10,25,"CANNIBIS","EDIBLES","USER","0064"
"1A40003126874AF000008369","10000267","GREEN HORNET INDICA 10PK",0,11,25,"CANNIBIS","EDIBLES","USER","0067"
"1A40003126874AF000008370","10000268","GREEN HORNET SATIVA 10PK",0,11,25,"CANNIBIS","EDIBLES","USER","0068"
"1A400031268748A000033374","10000272","DIXIE RELAXING MINTS",0,9,25,"CANNIBIS","EDIBLES","USER","0020"
"1A400031268748A000033987","10000273","DIXIE CRISPY KRAKEN",0,9,24,"CANNIBIS","EDIBLES","USER","23766"
"1A400031268748A000033375","10000274","DIXIE AWAKENING MINTS",-1,9,25,"CANNIBIS","EDIBLES","USER","24013"
"1A400031268748A000033376","10000275","DIXIE SYNERGY BALM",-1,13,30,"CANNIBIS","TOPICALS","USER","33376"
"1A40003126874AA000019035","10000276","IT CITRUS MEDLEY",9,9.75,25,"CANNIBIS","EDIBLES","USER","12403"
"1A40003126874AA000019036","10000277","IT STRAWBERRY",24,8,25,"CANNIBIS","EDIBLES","USER","18430"
"1A40003126874AA000019037","10000278","IT SOUR BOYSENBERRY",23,10,25,"CANNIBIS","EDIBLES","USER","18448"
"1A40003126874AA000019038","10000279","IT LEMON",8,9.75,25,"CANNIBIS","EDIBLES","USER","18451"
"1A40003126874AA000019039","10000280","IT SOUR WATERMELON",25,8,25,"CANNIBIS","EDIBLES","USER","17863"
"1A40003126874AA000019040","10000282","IT SUCKER BOYSENBERRY",9,2.25,6,"CANNIBIS","EDIBLES","USER","17886"
"1A40003126874AA000019041","10000283","IT SUCKER STRAWBERRY LEMONADE",-1,2.25,6,"CANNIBIS","EDIBLES","USER","21007"
"1A400031266EF55000001221","10000284","GHOST TRAIN HAZE 1G",-3,3.57,20,"CANNIBIS","FLOWER","USER","373"
"1A400031266EF55000001221","10000285","GHOST TRAIN HAZE 3.5G",15,12.5,60,"CANNIBIS","FLOWER","USER","1221"
"1A400031266F025000003671","10000286","GREEN CRACK 1G",5,2.23,20,"CANNIBIS","FLOWER","USER","3671"
"1A400031266F025000003671","10000287","GREEN CRACK 3.5G",4,7.81,60,"CANNIBIS","FLOWER","USER","3671"
"1A400031266F025000003671","10000288","GREEN CRACK 7G",0,15.63,110,"CANNIBIS","FLOWER","USER","3671"
"1A400031266EEF2000004936","10000289","PRE-ROLL TRIM NL",43,1,6,"CANNIBIS","PRE-ROLL","USER","4936"
"1A400031266EF55000001693","10000291","OG COOKIES 1G",0,3.12,12,"CANNIBIS","SPECIALS","USER","1693"
"1A400031266EF55000001693","10000292","OG COOKIES 3.5G",0,10.9,40,"CANNIBIS","SPECIALS","USER","1693"
"1A400031266EF55000001693","10000293","GSC 7G",0,15.63,110,"CANNIBIS","FLOWER","USER","1693"
"1A400031266EEF2000004936","10000294","PRE-ROLL TRIM NL",43,1,6,"CANNIBIS","PRE-ROLL","USER","4936"
